productName,priceInDollar,rating,numberOfRates,Link
Kingston DataTraveler SE9 16 GB Pen Drive,7.2,4.4,199,https://www.flipkart.com/kingston-datatraveler-se9-16-gb-pen-drive/p/itmewz3rb63gusff?pid=ACCEE2PHDKTZAHB7&lid=LSTACCEE2PHDKTZAHB7XGDXIG&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEE2PHDKTZAHB7.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSWIVL/64GBIN 64 GB Pen Drive,13.69,4.3,"1,182",https://www.flipkart.com/kingston-dtswivl-64gbin-64-gb-pen-drive/p/itmfdqvshgpz66wq?pid=ACCFDBAVZTKTSRTB&lid=LSTACCFDBAVZTKTSRTBZ4DVKG&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFDBAVZTKTSRTB.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT50 16 GB Pen Drive,4.92,2.7,400,https://www.flipkart.com/kingston-dt50-16-gb-pen-drive/p/itmf3qxyh3hbha8g?pid=ACCEX9KQCB72HDQZ&lid=LSTACCEX9KQCB72HDQZIQZVEW&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEX9KQCB72HDQZ.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler SE9 G2 64 GB Pen Drive,18.34,4.4,129,https://www.flipkart.com/kingston-datatraveler-se9-g2-64-gb-pen-drive/p/itmf3qy93yxgvemz?pid=ACCEH9BGJ5GJXRFG&lid=LSTACCEH9BGJ5GJXRFGUCLFNC&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEH9BGJ5GJXRFG.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston Data Traveler SWIVL 16 GB Pen Drive,6.36,4.1,40,https://www.flipkart.com/kingston-data-traveler-swivl-16-gb-pen-drive/p/itmfay29ezewmww2?pid=ACCFAYY6UPDUQR4C&lid=LSTACCFAYY6UPDUQR4CHOKRQZ&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFAYY6UPDUQR4C.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSE932GB 32 GB Pen Drive,12.98,4.3,444,https://www.flipkart.com/kingston-dtse932gb-32-gb-pen-drive/p/itmf3qy9pejuwyag?pid=ACCEBU4E3TYHCZZ2&lid=LSTACCEBU4E3TYHCZZ2B7SBFD&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEBU4E3TYHCZZ2.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler 50 16 GB Pen Drive,5.23,4.2,33,https://www.flipkart.com/kingston-datatraveler-50-16-gb-pen-drive/p/itmfcu4jufptbzkz?pid=ACCFCTS37J53CYGX&lid=LSTACCFCTS37J53CYGXIE4HFX&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFCTS37J53CYGX.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT104/16GB 16 GB Pen Drive,5.24,4.5,17,https://www.flipkart.com/kingston-dt104-16gb-16-gb-pen-drive/p/itmfgfrj8yubsp9t?pid=ACCFGFHRNBBRNGZF&lid=LSTACCFGFHRNBBRNGZF4LV61Z&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFGFHRNBBRNGZF.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSE9H 16 GB Pen Drive,7.26,4.1,223,https://www.flipkart.com/kingston-dtse9h-16-gb-pen-drive/p/itmf3qyazfnyhkxg?pid=ACCE8N76ZFU2SBYA&lid=LSTACCE8N76ZFU2SBYAL1UEWA&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCE8N76ZFU2SBYA.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT104/32GB 32 GB Pen Drive,6.1,0,0,https://www.flipkart.com/kingston-dt104-32gb-32-gb-pen-drive/p/itmfgfrfppv2ppu6?pid=ACCFGFHWJGZZHPEC&lid=LSTACCFGFHWJGZZHPEC9M8FCO&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFGFHWJGZZHPEC.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT104/64GB 64 GB Pen Drive,11.54,0,0,https://www.flipkart.com/kingston-dt104-64gb-64-gb-pen-drive/p/itmfgfrgx3hwdjju?pid=ACCFGFMYTQ9MSXYU&lid=LSTACCFGFMYTQ9MSXYUPBNY2E&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFGFMYTQ9MSXYU.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler OTG 16 GB Pen Drive,6.42,0,0,https://www.flipkart.com/kingston-datatraveler-otg-16-gb-pen-drive/p/itmf3qy96jadabgm?pid=ACCEE2PH7VJYZQH3&lid=LSTACCEE2PH7VJYZQH3NTKGBI&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEE2PH7VJYZQH3.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSWIVL/16GBIN 16 GB Pen Drive,7.84,4.3,112,https://www.flipkart.com/kingston-dtswivl-16gbin-16-gb-pen-drive/p/itm070801092890f?pid=ACCFZD99Y57PS496&lid=LSTACCFZD99Y57PS496R0DCKM&marketplace=FLIPKART&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFZD99Y57PS496.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston HYPER 256 GB Pen Drive,34.08,4.4,16,https://www.flipkart.com/kingston-hyper-256-gb-pen-drive/p/itm99f7b40f3292c?pid=ACCFNQWHBSYYAD9Q&lid=LSTACCFNQWHBSYYAD9QSOAA8H&marketplace=FLIPKART&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFNQWHBSYYAD9Q.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DT50 3.1/3.0/2.0 16 GB Pen Drive,6.56,4.3,427,https://www.flipkart.com/kingston-dt50-3-1-3-0-2-0-16-gb-pen-drive/p/itmfdwwdyxfwpjun?pid=ACCFDVGF7FGBHWN3&lid=LSTACCFDVGF7FGBHWN3OQFEQA&marketplace=FLIPKART&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFDVGF7FGBHWN3.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DTSE9H/16GB 16 GB Pen Drive,7.78,4.2,61,https://www.flipkart.com/kingston-dtse9h-16gb-16-gb-pen-drive/p/itmfdkcyswxzmaay?pid=ACCFDDTARNVV2TFZ&lid=LSTACCFDDTARNVV2TFZ14MMDO&marketplace=FLIPKART&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFDDTARNVV2TFZ.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DT50-32GBIN 32 GB Pen Drive,8.89,4.1,86,https://www.flipkart.com/kingston-dt50-32gbin-32-gb-pen-drive/p/itm2b3bb190c2696?pid=ACCFZDBC6HM2ANBP&lid=LSTACCFZDBC6HM2ANBPDZUY9C&marketplace=FLIPKART&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFZDBC6HM2ANBP.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DT50 32GB 32 GB Pen Drive,7.87,4.3,54,https://www.flipkart.com/kingston-dt50-32gb-32-gb-pen-drive/p/itmfdzbejhqufezm?pid=ACCFDYZEVFFCF7HA&lid=LSTACCFDYZEVFFCF7HAZDAUJT&marketplace=FLIPKART&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFDYZEVFFCF7HA.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
